============================================================
  TRANSITION DETECTION RATE (TDR) — TEST SET
============================================================
  Probability threshold      : 0.3
  Early-warning window       : 14 days
  Total INACTIVE periods     : 299
  Detected periods           : 117
  Transition Detection Rate  : 39.1%
  Mean lead time (detected)  : 12.6 days
  Median lead time           : 14.0 days
============================================================

Per-period breakdown:
                     dev period_start period_end  period_length_days  detected  lead_time_days  max_prob_in_window
        MDQ6VXNlcjEzNw==   2008-09-29 2008-10-13                  15      True            14.0            0.925096
        MDQ6VXNlcjEzNw==   2008-10-15 2008-10-26                  12      True            14.0            0.929805
        MDQ6VXNlcjEzNw==   2009-03-17 2009-03-23                   7     False             NaN            0.000013
        MDQ6VXNlcjEzNw==   2009-03-25 2009-04-01                   8     False             NaN            0.000269
        MDQ6VXNlcjEzNw==   2009-04-03 2009-04-13                  11     False             NaN            0.002257
        MDQ6VXNlcjEzNw==   2010-02-01 2010-02-14                  14     False             NaN            0.001503
        MDQ6VXNlcjEzNw==   2010-04-08 2011-03-20                 347     False             NaN            0.005672
        MDQ6VXNlcjEzNw==   2011-04-01 2011-04-12                  12     False             NaN            0.036038
        MDQ6VXNlcjEzNw==   2011-10-01 2011-11-18                  49     False             NaN            0.006473
        MDQ6VXNlcjEzNw==   2011-12-18 2012-02-21                  66      True            11.0            0.980771
        MDQ6VXNlcjEzNw==   2012-03-22 2012-08-06                 138     False             NaN            0.005591
        MDQ6VXNlcjEzNw==   2012-08-28 2012-09-13                  17     False             NaN            0.018773
        MDQ6VXNlcjEzNw==   2012-09-25 2012-10-09                  15     False             NaN            0.097358
        MDQ6VXNlcjEzNw==   2013-01-05 2013-02-27                  54      True             9.0            0.764787
        MDQ6VXNlcjEzNw==   2013-04-23 2013-06-02                  41     False             NaN            0.056282
        MDQ6VXNlcjEzNw==   2013-06-04 2013-06-18                  15      True            14.0            0.558098
        MDQ6VXNlcjEzNw==   2013-06-20 2013-06-20                   1     False             NaN            0.061690
        MDQ6VXNlcjEzNw==   2013-06-22 2013-06-27                   6     False             NaN            0.024938
        MDQ6VXNlcjEzNw==   2013-08-23 2014-03-24                 214      True            10.0            0.776592
        MDQ6VXNlcjEzNw==   2014-06-19 2014-09-02                  76      True            14.0            0.961324
        MDQ6VXNlcjEzNw==   2014-09-04 2014-10-12                  39      True            14.0            0.866292
        MDQ6VXNlcjMxMjQ=   2009-03-12 2009-07-01                 112     False             NaN                 NaN
        MDQ6VXNlcjMxMjQ=   2009-09-18 2010-01-25                 130     False             NaN            0.000284
        MDQ6VXNlcjMxMjQ=   2010-01-27 2010-03-05                  38     False             NaN            0.299081
        MDQ6VXNlcjMxMjQ=   2010-04-18 2010-06-07                  51      True            14.0            0.999356
        MDQ6VXNlcjMxMjQ=   2010-08-26 2010-09-04                  10     False             NaN            0.002040
        MDQ6VXNlcjMxMjQ=   2013-12-22 2014-01-07                  17     False             NaN            0.041011
        MDQ6VXNlcjMxMjQ=   2015-06-26 2015-07-06                  11     False             NaN            0.025343
        MDQ6VXNlcjMxMjQ=   2015-07-23 2015-08-04                  13     False             NaN            0.000501
        MDQ6VXNlcjMxMjQ=   2015-10-16 2015-10-28                  13     False             NaN            0.013656
        MDQ6VXNlcjMxMjQ=   2015-11-05 2015-11-17                  13     False             NaN            0.119997
        MDQ6VXNlcjMxMjQ=   2015-11-30 2015-12-12                  13     False             NaN            0.000082
        MDQ6VXNlcjMxMjQ=   2015-12-20 2016-01-11                  23     False             NaN            0.000115
        MDQ6VXNlcjMxMjQ=   2017-05-12 2017-06-19                  39     False             NaN            0.000089
        MDQ6VXNlcjMxMjQ=   2017-06-22 2017-06-22                   1     False             NaN            0.000100
        MDQ6VXNlcjMxMjQ=   2017-06-24 2017-06-27                   4     False             NaN            0.000101
        MDQ6VXNlcjMxMjQ=   2017-06-29 2017-07-04                   6     False             NaN            0.000103
        MDQ6VXNlcjMxMjQ=   2019-04-10 2019-04-29                  20     False             NaN            0.000040
        MDQ6VXNlcjMxMjQ=   2019-12-13 2020-01-09                  28     False             NaN            0.000111
        MDQ6VXNlcjMxMjQ=   2020-04-07 2020-04-20                  14     False             NaN            0.019319
        MDQ6VXNlcjMxMjQ=   2020-07-28 2020-08-18                  22     False             NaN            0.000097
        MDQ6VXNlcjMxMjQ=   2022-02-12 2022-02-28                  17     False             NaN            0.000128
        MDQ6VXNlcjMxMjQ=   2022-04-05 2022-04-27                  23     False             NaN            0.000077
        MDQ6VXNlcjMxMjQ=   2022-07-26 2022-08-23                  29     False             NaN            0.001556
        MDQ6VXNlcjMxMjQ=   2022-08-25 2022-09-14                  21     False             NaN            0.002430
        MDQ6VXNlcjMxMjQ=   2022-10-25 2022-12-15                  52     False             NaN            0.000054
        MDQ6VXNlcjMxMjQ=   2023-10-20 2023-12-06                  48      True             5.0            0.407253
        MDQ6VXNlcjMxMjQ=   2025-04-21 2025-07-23                  94     False             NaN            0.001180
        MDQ6VXNlcjMxMjQ=   2025-07-26 2025-07-27                   2      True            14.0            0.972138
