============================================================
  TRANSITION DETECTION RATE (TDR) — TEST SET
============================================================
  Probability threshold      : 0.3
  Early-warning window       : 14 days
  Total INACTIVE periods     : 137
  Detected periods           : 120
  Transition Detection Rate  : 87.6%
  Mean lead time (detected)  : 13.7 days
  Median lead time           : 14.0 days
============================================================

Per-period breakdown:
                     dev period_start period_end  period_length_days  detected  lead_time_days  max_prob_in_window
        MDQ6VXNlcjUwMDQ=   2013-03-21 2013-04-15                  26      True            14.0            0.978759
        MDQ6VXNlcjY2NTM=   2008-06-22 2008-06-28                   7      True            14.0            0.998089
        MDQ6VXNlcjY2NTM=   2008-08-30 2008-09-13                  15      True            14.0            0.689878
        MDQ6VXNlcjY2NTM=   2010-05-07 2010-06-10                  35      True            14.0            0.995005
        MDQ6VXNlcjk0MTI5   2013-03-11 2013-12-11                 276      True             3.0            0.995535
        MDQ6VXNlcjk0MTI5   2015-06-11 2015-08-08                  59     False             NaN            0.020655
        MDQ6VXNlcjk0MTI5   2015-11-10 2016-06-03                 207      True            14.0            0.995049
        MDQ6VXNlcjk0MTI5   2017-09-08 2017-09-10                   3      True            14.0            0.999096
        MDQ6VXNlcjk0MTI5   2018-06-11 2018-06-12                   2      True            14.0            0.982586
        MDQ6VXNlcjk0MTI5   2019-04-27 2019-04-29                   3      True            14.0            0.993127
        MDQ6VXNlcjk0MTI5   2019-06-01 2019-06-01                   1      True            14.0            0.983807
        MDQ6VXNlcjk0MTI5   2019-06-13 2019-06-22                  10      True            14.0            0.997358
        MDQ6VXNlcjk1ODI=   2008-10-21 2009-01-17                  89     False             NaN            0.000155
        MDQ6VXNlcjk1ODI=   2009-08-24 2009-08-28                   5      True            14.0            0.324187
        MDQ6VXNlcjk1ODI=   2014-04-23 2014-05-07                  15     False             NaN            0.000152
        MDQ6VXNlcjk1ODI=   2014-06-15 2014-07-01                  17     False             NaN            0.000154
            MDQ6VXNlcjkx   2010-08-20 2010-08-29                  10      True            14.0            0.990793
            MDQ6VXNlcjkx   2010-10-11 2010-11-01                  22      True            14.0            0.994607
            MDQ6VXNlcjkx   2010-12-07 2010-12-28                  22      True            14.0            0.992577
            MDQ6VXNlcjkx   2011-03-07 2011-03-24                  18      True            14.0            0.983507
            MDQ6VXNlcjkx   2011-04-29 2011-10-25                 180      True            14.0            0.990252
            MDQ6VXNlcjkx   2011-11-30 2012-08-19                 264      True            14.0            0.992873
            MDQ6VXNlcjkx   2012-10-05 2013-08-31                 331      True            14.0            0.469892
            MDQ6VXNlcjkx   2015-09-19 2015-10-06                  18      True            14.0            0.992467
            MDQ6VXNlcjkx   2015-12-13 2016-01-15                  34      True            14.0            0.997597
            MDQ6VXNlcjkx   2016-02-21 2016-02-21                   1      True            14.0            0.998680
            MDQ6VXNlcjkx   2016-03-05 2017-03-04                 365      True            14.0            0.997605
